Topic / claim,Report A statement,Report B statement,Status,Severity,Evidence / location in files,Recommended correction
"Stochastic sampling","A reports 1,000 simulated scenarios and configurable triangular distributions; LHS not central.","B reports 100 SAA LHS + 1,000 ex-post LHS.",CONFLICT,HIGH,"A: lines 1625-1644, 1869-1888; B: lines 1590-1593, 1752-1768; repo: stochastic/scenarios.py supports B.","Use B sampling description."
"Financing uncertainty in M4","A includes capital available/financing as stochastic uncertainty.","B still lists 'Multiplicador de Capital de Trabajo y Financiamiento' as uncertainty.",CONFLICT,HIGH,"A: lines 155-158, 1630-1635; B: lines 1528-1535; repo: stochastic/defaults.py has no financing multiplier and ADR 0009 fixes VC across scenarios.","Correct B: remove financing multiplier as sampled uncertainty; liquidity is measured via funding gap/runway with fixed VC."
"Use of term robust","A repeatedly calls stochastic analysis robust / optimization robust.","B also uses robust language, despite CVaR risk-averse SAA not worst-case robust optimization.",PARTIAL MATCH,MEDIUM,"A: lines 155-164, 1617, 1890-1892; B: lines 1519, 1585, 1592, 1827-1834.","Replace 'robust optimization' with 'risk-averse stochastic optimization' or 'downside-risk analysis via CVaR'."
"M5/report generation","A claims standard HTML/PDF report, 48 pages, YAML narrative, PDF.","B claims M5 simple HTML MVP; standard polished/PDF partial/legacy.",CONFLICT,MEDIUM,"A: lines 1984-1995; B: lines 1603-1660, 1797-1799; repo: simple_report.py supports B; standard_report exists but is legacy/partial.","Use B current state; if discussing A, call it earlier standard-report target."
"CLI workflow","A does not describe instance/execution CLI workflow.","B claims filesystem registry CLI: instances and executions commands.",MISSING IN A,LOW,"B: lines 1669-1697; repo: workflow_registry.py, cli.py, tests/test_workflow_mvp.py.","No correction needed if A is legacy; B should remain current."
"Streamlit UI","A generally discusses report/system; no detailed postponement.","B says Streamlit MVP exists but UI postponed in favor of CLI/M4/M5.",MISSING IN A,LOW,"B: lines 1813-1816; repo: app.py, streamlit_pages/.","Keep B as current; avoid overclaiming production UI."
"Base deterministic results","A: H=36, revenue USD 3.00MM, EBITDA USD 1.69MM, final cash USD 1.79MM, min cash -18.1K, acquisition 1,621.","B reports same deterministic results.",MATCH,LOW,"A: lines 1755-1771; B: lines 1702-1720; repo: growth_plan_summary.json supports both.","Keep."
"Base DCF valuation","A: VP flows USD 630.1K, VAN USD 530.1K, revenue multiple USD 3.60MM, EBITDA multiple USD 4.85MM.","B reports same values.",MATCH,LOW,"A: lines 1791-1806; B: lines 1725-1731; repo: valuation_summary.json supports both.","Keep."
"Base Due Diligence result","A: requires minor adjustment with multiple alerts: cash, floor, gross margin, LTV/CAC, mix concentration.","B: requires_minor_adjustment, calibration FAIL, recommendation DD07 liquidity/cash only in summary table.",PARTIAL MATCH,MEDIUM,"A: lines 1827-1845; B: lines 1738-1749; repo: assessment_summary.json currently shows DD07 recommendation only but calibration FAIL.","Clarify current findings from due_diligence_report/calibration_report; avoid implying all A alerts remain active if artifact only exposes DD07 recommendation."
"Base stochastic results","A: expected VAN USD 1.51MM, P10 USD 1.20MM, P50 USD 1.50MM, P90 USD 1.84MM, funding gap expected USD 128.4K, max USD 136.6K, breakeven month 24.","B: expected VAN USD 1.54MM, P5 USD 943K, P10 USD 1.06MM, P50 USD 1.54MM, P90 USD 2.03MM, CVaR USD 834K, funding gap expected USD 20.8K, max USD 41.2K, breakeven 23.",CONFLICT,HIGH,"A: lines 1869-1888; B: lines 1752-1778; repo: stochastic_summary.csv supports B values.","Use B/current artifact values; mark A stochastic table as obsolete."
"Base stochastic conclusion on value/liquidity","A: value robust, but liquidity not robust, 100% financing additional.","B: creates value in adverse tail, but all scenarios cross cash floor; recommends VC/adquisition adjustment.",PARTIAL MATCH,MEDIUM,"A: lines 1890-1898; B: lines 1783-1787; repo: stochastic_summary.csv supports B probability cash below floor 100%.","Keep liquidity risk conclusion but avoid 'robust' wording."
"Test count","A claims 38 automated tests.","B claims 137 passing, 3 skipped.",CONFLICT,LOW,"A: lines 1984-1988; B: lines 1799-1801; command run: 137 passed, 3 skipped.","Use B/current test count."
"ADR/documentation count","A mentions five ADRs and several docs.","B table references ADR 0009 and current docs; repo has 9 numbered ADRs plus phases.md.",PARTIAL MATCH,LOW,"A: lines 1984-1988; repo: docs/adr/0001-0009.","Update any current report to say 9 numbered ADRs if mentioning count."
"Benchmark with real cases","A says final empirical validation with real cases remains future work.","B Section 9 claims preliminary validation using four real cases: GoDemos, Entrena, Beloop, KavaComex; but B summary/conclusion also says validation with real cases remains future/future work.",CONFLICT,CRITICAL,"A: lines 166-174, 1904-1915; B: lines 231-234 and 1825-1838 conflict; repo: benchmark_v0 configs and outputs/benchmark exist.","Fix B internal contradiction: call it 'preliminary benchmark of 4 extracted cases' and reserve 'full empirical validation' for future."
"Benchmark GoDemos","A has no GoDemos benchmark.","B: GoDemos blocked by DD03 VC=0; suggests VC=1/override.",MISSING IN A,MEDIUM,"B: lines 1840-1848; repo: outputs/benchmark/godemos/assessment_summary.json supports rejected_for_stochastic.","Keep in B; clarify it is benchmark v0, not full validation."
"Benchmark Entrena en Casa","A absent.","B: DCF VAN USD 209K; stochastic USD 570K; Excel USD 1.41MM; EBITDA yr3 -5%, revenue yr3 +6%, breakeven month 24/25.",MISSING IN A,MEDIUM,"B: lines 1849-1872; repo: outputs/benchmark/entrena-en-casa valuation supports DCF 209K; saa_solution expected_van 570K; stochastic_summary ex-post expected_van 761K.","Clarify 'Modelo (Estoc.) USD 570K' is SAA expected VAN, not ex-post expected VAN; otherwise table conflicts with stochastic_summary."
"Benchmark Beloop","A absent.","B: DCF VAN USD 2.34MM vs Excel USD 1.92MM (+22%); M4 not solved due 120s timeout.",MISSING IN A,MEDIUM,"B: lines 1874-1884; repo: outputs/benchmark/beloop valuation 2.339MM and assessment stoch_status Not Solved.","Keep; add that current M4 default time limit is now 420s and benchmark may need rerun."
"Benchmark KavaComex","A absent.","B: rejected/major, VAN USD -156K vs Excel USD 1.79MM; physical/logistics model gap.",PARTIAL MATCH,HIGH,"B: lines 1886-1902; docs/benchmark-v0-report says -156K, but current outputs/benchmark/kavacomex/valuation_summary.json shows VAN -302.9K.","Reconcile benchmark artifact versions; either cite the exact artifact used for -156K or update table to current -303K."
"Benchmark KavaComex DD reason","A absent.","B text says rejected due to critical liquidity/DD07 and negative VAN; current artifact verdict requires_major_adjustment, allows_stochastic false, calibration FAIL.",PARTIAL MATCH,MEDIUM,"B: lines 1886-1902; repo: outputs/benchmark/kavacomex/assessment_summary.json.","Use exact verdict requires_major_adjustment, not generic rejected, unless explaining blocked for M4."
"Benchmark validation tolerance","A only future plan; no real-case tolerance.","B sets ±20% tolerance.",MISSING IN A,LOW,"B: lines 1827-1838; docs/benchmark-v0-report.","Keep B but explain preliminary benchmark criteria."
"Initial clients/model gap","A does not mention initial_clients gap.","B benchmark identifies missing initial client pool as revenue understatement cause.",MISSING IN A,MEDIUM,"B: lines 1867-1872, 1910-1916; docs/benchmark-v0-report section 3.3.","Keep as evidence-backed limitation/future schema extension."
"Physical/logistics business support","A does not mention product/logistics schema gap.","B identifies KavaComex physical-goods/logistics/inventory gaps.",MISSING IN A,MEDIUM,"B: lines 1888-1902, 1920-1928; docs/benchmark-v0-report section 4.3.","Keep as future work; consider ADR if implementation begins."
"Solver time limit parameter","A does not mention 420s M4 default; mentions old stochastic broadly.","B states M4 mixed can take minutes and 420s default/CLI flag added.",MISSING IN A,LOW,"B: lines 1813-1815, 1913-1916; repo: stochastic/defaults.py solver_time_limit=420, workflow_registry.py.","Keep B current; if referencing benchmark, note old benchmark used 120s and should be rerun."
"M4 code support/tag","A no tag/implementation detail.","B states M4 SAA+LHS+CVaR implemented, tag m4-stochastic-parity.",MISSING IN A,LOW,"B: lines 1792-1795; repo: tag m4-stochastic-parity and stochastic/*.py support.","Keep B; ensure tag exists in distributed repo."
"Report output evidence","A claims HTML/PDF report; B claims simple report.html.","Repo has multiple report.html outputs and simple_report.py; PDF support not central.",PARTIAL MATCH,MEDIUM,"A: lines 1984-1995; B: lines 1603-1660; repo: outputs/executions/.../report.html and simple_report.py.","Current paper should claim simple HTML; do not claim PDF unless generated for exact run."
"Conclusions","A concludes stochastic extension and standard report fulfilled in earlier sense; real validation pending.","B concludes M4 canonical, CLI, M5 simple implemented, but also has validation wording inconsistency.",PARTIAL MATCH,HIGH,"A: lines 1950-1995; B: lines 1950-1995 and 1825-1838.","Use B as current but fix validation contradiction and robust wording before submission."
